link,headline,category,news_text,category_merged,_sim,_equal
https://www.huffingtonpost.com/entry/lawyer-defends-fired-cop-who-killed-teen-football-player_us_55cb8a1de4b0923c12befbf8,Lawyer Defends Fired Cop Who Killed Teen Football Player,CRIME,Lawyer defends fired cop who killed teen football player,CRIME,0.8571428571428571,False
https://www.huffingtonpost.com/entry/why-is-coming-out-of-the_b_7679996.html,Why Is Coming Out Of The Closet Not An Issue Anymore?,COMEDY,Why is coming out of the closet not an issue anymore?,ENTERTAINMENT,0.8113207547169812,False
https://www.huffingtonpost.com/entry/why-should-we-support-sam_b_7682592.html,Why Should We Support Same Sex Marriage?,COMEDY,Why should we support same-sex marriage?,ENTERTAINMENT,0.825,False
https://www.huffingtonpost.com/entry/why-stop-the-yulin-dog-fe_b_7629212.html,Why Stop The Yulin Dog Festival?,COMEDY,Why stop Yulin dog festival?,ENTERTAINMENT,0.8333333333333334,False
https://www.huffingtonpost.com/entry/a-picture-postcard-from-t_b_7236786.html,"A Picture Postcard From Table Mountain National Park, South Africa",TRAVEL,A picture postcard from Table Mountain National Park in South Africa.,TRAVEL,0.9185185185185185,False
https://www.huffingtonpost.com/entry/out-of-line-the-uninvited_b_6805752.html,Out of Line: The Uninvited,POLITICS,Out Of Line: The Uninvited,POLITICS,0.9615384615384616,False
https://www.huffingtonpost.com/entry/the-soundtrack-of-my-life_b_6576562.html,"The Soundtrack Of My Life: Chatting with Donny Osmond, Melissa Manchester, Louise Goffin, Meitel and Rumer",ENTERTAINMENT,"Chatting with Donny Osmond, Melissa Manchester, Louise Goffin, Meitel and Rumer.",ENTERTAINMENT,0.8494623655913979,False
https://www.huffingtonpost.com/entry/policing-ferguson-it-coul_b_5702679.html,"Policing Ferguson: It Could Have Been Calmer, Sooner",POLITICS,"Policing Ferguson: It Could Have Been Calmer, Sooner.",POLITICS,0.9904761904761905,False
https://www.huffingtonpost.com/entry/the-new-view-cartoon_b_5537911.html,The New View?,MEDIA,The New View,TECH,0.96,False
https://www.huffingtonpost.com/entry/egypt-death-sentences_b_5532941.html,Egypt Death Sentences,POLITICS,Egypt death sentences,POLITICS,0.9047619047619048,False
https://www.huffingtonpost.com/entry/pentagon-planning_b_5389980.html,Pentagon Planning,POLITICS,Pentagon planning,POLITICS,0.9411764705882353,False
https://www.huffingtonpost.com/entry/why-was-moby-dick-white_b_5390374.html,Why Was Moby Dick White?,COMEDY,Why was Moby Dick white?,ENTERTAINMENT,0.9166666666666666,False
https://www.huffingtonpost.com/entry/how-to-find-truffles-and_us_5b9d730fe4b03a1dcc8821ad,"How to Find Truffles (and Sell Them, and Eat Them)",FOOD & DRINK,"How to find truffles (and sell them, and eat them.",FOOD & DRINK,0.86,False
https://www.huffingtonpost.com/entry/study-shows-57-of-america_us_5b9d2640e4b03a1dcc84e895,Study Shows 57% of Americans Consider Eating Out a 'Special Occasion' [INFOGRAPHIC],FOOD & DRINK,Study shows 57 percent of Americans consider eating out a 'special occasion.' [INFOGRAPHIC],FOOD & DRINK,0.8735632183908046,False
https://www.huffingtonpost.com/entry/christian-louboutin-bunions_us_5b9c9f6fe4b03a1dcc806160,"Dear Christian Louboutin, You're Giving Me Bunions",STYLE & BEAUTY,"Dear Christian Louboutin, You're giving me bunions.",STYLE/BEAUTY,0.9306930693069307,False
https://www.huffingtonpost.com/entry/my-divorce-downward-mobil_us_5b9c435de4b03a1dcc7d707e,My Post-Divorce Downward Mobility Has an Upside,DIVORCE,My post-divorce downward mobility had an upside.,LIFESTYLE,0.8421052631578947,False
